Lunation,New Moon,First Quarter,Full Moon,Third Quarter,Duration
1250,2024-01-11 01:57,2024-01-17 17:52,2024-01-25 19:53,2024-02-03 17:30,29d 12h 25m
1251,2024-02-09 12:59,2024-02-16 05:00,2024-02-24 02:30,2024-03-04 05:23,29d 11h 02m
1252,2024-03-09 23:00,2024-03-16 16:04,2024-03-25 21:00,2024-04-03 12:39,29d 09h 58m
1253,2024-04-08 08:20,2024-04-15 03:00,2024-04-23 13:48,2024-05-01 18:50,29d 09h 01m
1254,2024-05-07 17:21,2024-05-15 14:19,2024-05-23 11:53,2024-05-31 00:53,29d 08h 52m
1255,2024-06-06 02:37,2024-06-13 19:18,2024-06-21 19:08,2024-06-30 11:53,29d 11h 53m
1256,2024-07-05 13:07,2024-07-12 12:48,2024-07-21 10:17,2024-07-29 17:51,29d 10h 16m
1257,2024-08-04 01:13,2024-08-10 05:15,2024-08-19 08:25,2024-08-27 23:25,29d 14h 42m
1258,2024-09-02 15:55,2024-09-09 10:37,2024-09-17 16:34,2024-09-25 06:39,29d 10h 39m
1259,2024-10-02 08:49,2024-10-10 06:55,2024-10-17 01:26,2024-10-24 22:23,29d 17h 58m
1260,2024-11-01 02:47,2024-11-08 19:55,2024-11-15 20:27,2024-11-22 15:30,29d 17h 54m
1261,2024-11-30 20:21,2024-12-08 05:26,2024-12-15 23:02,2024-12-22 12:18,29d 16h 05m
1262,2024-12-30 12:26,,,,29d 14h 09m
